code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,开盘价,开板价格,开板涨幅%(未开板未截止目前累计涨幅%),涨停板个数,历史最高,历史最高涨幅%,现价
300659,中孚信息,软件服务,山东,68.46,0.2,0.83,54668.71,47607.76,4012.51,25115.65,3.03,0.67,4.96,8.1,20170526,7519.12,0.91,30.21,0.54,64.38,17.29,12300.0,15.42,40.35,161.67315175097275,9,46.88,204.0207522697795,40.21
300656,民德电子,电脑设备,深圳,84.04,0.13,0.6,44773.3,42437.73,839.55,22773.22,3.8,0.75,6.99,8.11,20170519,11457.46,1.91,0.58,-12.63,49.55,33.02,5363.0,18.72,51.6,175.64102564102566,10,59.76,219.23076923076925,56.67
300624,万兴科技,软件服务,西藏,143.9,0.2,0.8,27383.02,8821.16,0.0,0.0,0.0,0.657,4.28,29.44,20180118,0.0,0.0,0.0,0.0,0.0,15.58,40002.0,21.85,61.0,179.1762013729977,10,125.99,476.6132723112127,125.99
002866,传艺科技,电脑设备,江苏,50.19,0.36,1.44,101783.86,83007.15,11888.08,49112.9,3.42,0.47,6.08,4.6,20170426,22649.47,1.58,0.0,0.0,26.15,12.37,15393.0,16.08,35.0,117.66169154228858,7,39.0,142.53731343283584,27.97
002864,盘龙药业,中成药,陕西,103.28,0.22,0.87,54193.88,33766.15,10398.67,10890.53,1.26,0.382,8.34,6.3,20171116,17190.42,1.98,0.0,0.0,69.51,12.11,19315.0,12.04,30.65,154.56810631229237,10,52.58,336.7109634551495,52.58
002857,三晖电气,电器仪表,河南,75.27,0.28,0.8,49325.8,45295.87,1106.37,16406.4,2.05,0.19899999999999998,5.32,3.76,20170323,14372.49,1.8,1.67,-29.52,38.26,12.48,7366.0,12.31,42.96,248.98456539398862,12,43.98,257.2705117790414,20.01
603833,欧派家居,家居用品,广东,46.98,0.9,4.21,901359.31,460835.81,162250.63,290630.72,6.91,2.34,14.57,9.65,20170328,267802.22,6.37,0.0,0.0,35.19,13.68,12727.0,0.0,0,0.0,0,0.0,0.0,0.0
603139,康惠制药,中成药,陕西,51.5,0.25,1.0,94826.35,81229.31,5390.8,41201.68,4.13,0.41,8.85,2.82,20170421,33866.51,3.39,0.0,0.0,57.1,15.64,13137.0,0.0,0,0.0,0,0.0,0.0,0.0
300626,华瑞股份,电气设备,浙江,41.25,0.52,1.0,88886.0,57837.07,24193.31,21015.75,2.1,0.42100000000000004,4.46,5.2,20170320,15683.57,1.57,0.0,0.0,21.68,7.01,8553.0,9.0,38.05,322.7777777777777,14,38.4,326.6666666666667,23.17
603768,常青股份,汽车配件,安徽,27.08,0.7,2.04,249811.8,150637.97,72097.18,79663.78,3.91,0.67,8.12,2.08,20170324,60044.81,2.94,28.41,-14.25,19.05,6.64,23155.0,0.0,0,0.0,0,0.0,0.0,0.0
